qid,your_answer
QUESTION1,(D)
QUESTION2,(A)
QUESTION3,(C)
QUESTION4,(D)
QUESTION5,(C)
QUESTION6,(A)
QUESTION7,(D)
QUESTION8,(C)
QUESTION9,(C)
QUESTION10,(B)
QUESTION11,(B)
QUESTION12,(B)
QUESTION13,(C)
QUESTION14,(C)
QUESTION15,(A)
QUESTION16,(B)
QUESTION17,(B)
QUESTION18,(D)
QUESTION19,(D)
QUESTION20,(D)
QUESTION21,(B)
QUESTION22,(A)
QUESTION23,(D)
QUESTION24,(D)
QUESTION25,(C)
QUESTION26,(D)
QUESTION27,(A)
QUESTION28,(E)
QUESTION29,(I)
QUESTION30,(E)
QUESTION31,(B)
QUESTION32,(G)
QUESTION33,(I)
QUESTION34,(G)
QUESTION35,(F)
QUESTION36,(J)
QUESTION37,(C)
QUESTION38,(G)
QUESTION39,(D)
QUESTION40,(I)
QUESTION41,(E)
QUESTION42,(D)
QUESTION43,(C)
QUESTION44,(F)
QUESTION45,(E)
QUESTION46,(I)
QUESTION47,(G)
QUESTION48,(E)
QUESTION49,(G)
QUESTION50,(B)
