qid,your_answer
QUESTION1,(C)
QUESTION2,(B)
QUESTION3,(B)
QUESTION4,(A)
QUESTION5,(B)
QUESTION6,(B)
QUESTION7,(B)
QUESTION8,(B)
QUESTION9,(D)
QUESTION10,(B)
QUESTION11,(B)
QUESTION12,(A)
QUESTION13,(C)
QUESTION14,(C)
QUESTION15,(D)
QUESTION16,(B)
QUESTION17,(C)
QUESTION18,(C)
QUESTION19,(C)
QUESTION20,(D)
QUESTION21,(C)
QUESTION22,(A)
QUESTION23,(B)
QUESTION24,(B)
QUESTION25,(D)
QUESTION26,(B)
QUESTION27,(A)
QUESTION28,(C)
QUESTION29,(D)
QUESTION30,(B)
QUESTION31,(B)
QUESTION32,(B)
QUESTION33,(D)
QUESTION34,(A)
QUESTION35,(A)
QUESTION36,(A)
QUESTION37,(C)
QUESTION38,(A)
QUESTION39,(B)
QUESTION40,(B)
QUESTION41,(B)
QUESTION42,(B)
QUESTION43,(A)
QUESTION44,(A)
QUESTION45,(B)
QUESTION46,(D)
QUESTION47,(B)
QUESTION48,(B)
QUESTION49,(B)
QUESTION50,(D)
QUESTION1200,(D)
QUESTION1569,(C)
QUESTION1286,(C)
QUESTION1601,(G)
QUESTION1114,(B)
QUESTION1642,(D)
QUESTION962,(G)
QUESTION1485,(A)
QUESTION1769,(G)
QUESTION967,(B)
QUESTION2694,(G)
QUESTION2663,(C)
QUESTION2052,(B)
QUESTION2526,(A)
QUESTION2055,(G)
QUESTION2615,(F)
QUESTION2337,(D)
QUESTION2483,(J)
QUESTION2643,(E)
QUESTION2449,(E)
QUESTION586,(F)
QUESTION109,(J)
QUESTION283,(F)
QUESTION271,(C)
QUESTION307,(G)
QUESTION287,(G)
QUESTION644,(B)
QUESTION425,(I)
QUESTION373,(J)
QUESTION208,(B)
QUESTION11245,(A)
QUESTION10850,(E)
QUESTION11011,(A)
QUESTION10952,(G)
QUESTION11017,(A)
QUESTION11210,(F)
QUESTION10932,(D)
QUESTION10832,(I)
QUESTION11104,(A)
QUESTION10783,(D)
QUESTION4942,(A)
QUESTION4868,(I)
QUESTION4715,(I)
QUESTION4724,(J)
QUESTION4726,(A)
QUESTION4708,(E)
QUESTION4839,(B)
QUESTION5041,(B)
QUESTION4886,(J)
QUESTION4765,(J)
